Date,DraftType,Overall,Pick,Player,Position,league_id,Name,Lineup,Scoring,Teams,Copies,Decision?
1970-01-01,,1.0,1.01, , ,19078,Greatest Show on Paper ,,"QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",,,
1970-01-01,SDRAFT,1.0,1.01, , ,45267,Knuckleheads (KFL),"QB: 1, RB: 1-3, WR: 1-4, TE: 1-3, PK: 1, Def: 1, ","QB_pTD: 0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1970-01-01,,1.0,1.01, , ,49969,Kitsaps Finest Dynasty League,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-2, ","QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",10.0,1.0,
1970-01-01,,1.0,1.01, , ,17908,Ilovecows84 ,,"QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",,,
1970-01-01 00:00:00,,,Fail, ,,40530,Fail,,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
1970-01-01 00:00:00,,,Fail, ,,29482,Fail,,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",,,
1970-01-01 00:00:00,SDRAFT,1.0,01.01, , ,72440,3&Out Dynasty League 3DL,"QB: 1, RB: 1-3, WR: 2-4, TE: 1-3, PK: 1-2, DT+DE: 2-4, LB: 2-4, CB+S: 2-4, ","QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",10.0,1.0,
1970-01-01 00:00:00,,,Fail, ,,38193,PHLEX5 (We'll do it Live!),"QB: 1-2, RB: 2-5, WR: 3-5, TE: 1-5, ","QB_pTD: 6.0, RB_PPR: 0.25, WR_PPR: 0.5, TE_PPR: 0.75",12.0,1.0,
1970-01-01 00:00:00,,,Fail, ,,10388,Insanity Football League 2,"QB: 1, RB: 1-3, WR: 1-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",12.0,1.0,
1970-01-01 00:00:00,,,Fail, ,,23070,Pimping Ain't Easy Fantasy Football League 2021,"QB: 1, RB: 1-3, WR: 1-3, TE: 1, PK: 1, Def: 1, ","QB_pTD: 0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",12.0,1.0,
