Date,DraftType,Overall,Pick,Player,Position,Last Pick,Draft length,league_id,Name,Lineup,Scoring,Teams,Copies,Decision?
1/1/1970 0:00,SAME,1.0,1.01, , ,,,26102,Vegas Live League,"QB: 1-2, RB: 1-6, WR: 1-6, TE: 1-6, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,18784,Qatar 2022,"QB: 1, RB: 1-4, WR: 1-4, TE: 1-4, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,27632,When Worlds Collide Again,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, Def: 1, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",20.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,27632,When Worlds Collide Again,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, Def: 1, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",20.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,16990,The Program League 2,"QB: 1-2, RB: 2-6, WR: 3-7, TE: 1-5, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,29392,Burrested Development,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,29138,JP'S DYNASTY 8 - Higher Stakes!,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-3, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,41053,Norwegian Wood,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, Def: 1, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,41697,The Crooners League,"QB: 1, RB: 1-3, WR: 2-4, TE: 1-3, PK: 1, Def: 1, ","QB_pTD: 0, RB_PPR: 0.6, WR_PPR: 0.5, TE_PPR: 0.6",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,42914,Best Ball Dynasty League 2021,"QB: 1, RB: 1-2, WR: 2-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,73703,Marvel vs DC SuperFlex.....TE Heroes,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-5, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.25, TE_PPR: 1.75",14.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,24199,The Dirty Dozen - 2021 Dynasty Football,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,32469,A.D.D.I.C.T League,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, PK: 1, DT+DE: 2-3, LB: 3-4, CB+S: 2-3, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,14465,The Crime Syndicate,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 2-5, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.75, TE_PPR: 1.0",24.0,2.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,29629,Masters Copper Dynasty 140243,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,14263,Home Grown Dynasty,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-3, ","QB_pTD: 30.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,30049,Dynasty Jackpot,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-3, PK: 1, Def: 1, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",14.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,30934,Roadkill Dynasty League,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,56983,2QB or not 2QB Dynasty League,"QB: 1-2, RB: 2-4, WR: 3-5, TE: 1-3, PK: 1, PN: 1, DE: 2-3, DT: 1-2, LB: 3-4, CB: 2-3, S: 2-3, ","QB_pTD: 4.0, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.0",18.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,35470,The League,"RB: 1-2, WR: 1-2, TE: 1-2, TMQB: 1, TMPK: 1, ST: 1, DT+DE: 1, LB: 1, CB+S: 1, ","QB_pTD: 0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",32.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,68426,Dynast-eh League,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,29132,The Big Boi League,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ","QB_pTD: 6.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,34371,Snooze You Lose 2 Dynasty,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,27529,Former Fanatics,"QB: 1, RB: 1-2, WR: 2-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,70760,Champions League,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,29301,Masters Tin Dynasty 140136,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,55202,Salem Witch Trials ,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,23185,DataForce: RENEGADE ,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,58278,GOATs vs PROs,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-4, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",16.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,67743,The 80's Superflex,"QB: 1-2, RB: 1-5, WR: 1-5, TE: 1-5, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,33114,The League of Extraordinaires,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,71768,Ben Wyatt Association of Fantasy Footballers,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, DT+DE: 2, LB: 2-3, CB: 2-3, S: 1-2, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",16.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,50122,Pond Creek Pub Elite Dynasty,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, PK: 1, DE: 2, DT: 1-2, LB: 1-4, CB: 2-4, S: 2, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",14.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,68255,Deadbeats SuperFlex,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-5, ","QB_pTD: 0, RB_PPR: 0.75, WR_PPR: 0.5, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,66631,Hall of Fame Dynasty League,"QB: 1-2, RB: 2-7, WR: 2-7, TE: 1-7, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 1.0, TE_PPR: 1.5",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,33151,Gonads on the Gridiron 2021,"QB: 1, RB: 1-2, WR: 2-4, TE: 1-2, PK: 1, DT+DE: 2-3, LB: 2-3, CB+S: 2-3, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",32.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,33151,Gonads on the Gridiron 2021,"QB: 1, RB: 1-2, WR: 2-4, TE: 1-2, PK: 1, DT+DE: 2-3, LB: 2-3, CB+S: 2-3, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",32.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,13921,The Cuck Cup,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, Def: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,61481,Loon Premier League,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, ","QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,49210,The 6 Inches in Front of Your Screen,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, DT+DE: 1-3, LB: 1-3, CB+S: 1-3, ","QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,67697,Those Guys,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ","QB_pTD: 5.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,29550,Red Zone Dynasty,"QB: 1, RB: 2-3, WR: 2-3, TE: 1-2, PK: 1, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,43596,For the love of the game,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, DT+DE: 2-3, LB: 3-4, CB: 2-3, S: 2-3, ","QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",14.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,44317,Gridiron Warriors Dynasty League,"QB: 1, RB: 1-2, WR: 2-4, TE: 1-2, PK: 1, DT+DE: 3, LB: 2-3, CB+S: 2-3, ","QB_pTD: 4.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",16.0,1.0,
1/1/1970 0:00,SAME,1.0,1.01, , ,,,57584,Back to the 90s,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-5, ","QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.75",12.0,1.0,
